Timestamp,CPU Percentage,RAM Percentage,RAM Memory,GPU Memory,GPU Temperature
2024-05-29 21:03:39.472561,7.4,45.6,7790.809088,716,67
2024-05-29 21:03:44.722715,6.9,45.6,7793.635328,716,67
2024-05-29 21:03:49.957014,6.7,45.6,7791.259648,716,67
2024-05-29 21:03:55.205813,7.6,45.6,7790.985216,716,67
2024-05-29 21:04:00.456173,6.7,45.6,7788.695552,716,67
2024-05-29 21:04:05.719310,7.7,45.6,7790.686208,716,67
2024-05-29 21:04:10.958550,6.8,45.6,7785.222144,716,67
2024-05-29 21:04:16.192531,7.0,45.6,7786.500096,716,67
2024-05-29 21:04:21.441998,6.5,45.6,7786.151936,716,67
2024-05-29 21:04:26.706459,6.7,45.6,7787.200512,716,67
2024-05-29 21:04:31.963068,6.9,45.6,7787.798528,716,67
2024-05-29 21:04:37.225871,6.6,45.6,7793.102848,716,67
2024-05-29 21:04:42.473671,7.7,45.6,7791.558656,716,67
2024-05-29 21:04:47.708510,6.9,45.7,7794.610176,716,67
2024-05-29 21:04:52.973828,6.4,45.6,7774.670848,716,67
2024-05-29 21:04:58.238295,7.5,45.5,7773.605888,716,67
2024-05-29 21:05:03.488123,7.3,45.6,7777.148928,716,67
2024-05-29 21:05:08.735882,7.0,45.5,7775.86688,716,67
2024-05-29 21:05:13.989782,6.9,45.6,7779.75808,716,67
2024-05-29 21:05:19.253429,6.8,45.6,7777.677312,716,67
2024-05-29 21:05:24.504028,7.2,45.6,7780.831232,716,67
2024-05-29 21:05:29.738971,6.5,45.6,7778.000896,716,67
2024-05-29 21:05:35.004441,8.0,45.5,7769.628672,716,67
2024-05-29 21:05:40.239073,6.4,45.5,7763.759104,716,67
2024-05-29 21:05:45.474011,7.7,45.5,7766.7328,716,67
2024-05-29 21:05:50.726516,7.7,45.5,7763.009536,716,67
2024-05-29 21:05:55.973745,7.1,45.5,7766.089728,716,67
2024-05-29 21:06:01.223589,7.1,45.5,7766.257664,716,67
2024-05-29 21:06:06.472301,7.1,45.5,7768.440832,716,67
2024-05-29 21:06:11.739656,7.7,45.5,7771.533312,716,67
2024-05-29 21:06:16.985700,7.8,45.5,7773.392896,716,67
2024-05-29 21:06:22.246965,6.8,45.5,7774.240768,716,67
2024-05-29 21:06:27.488350,6.5,45.5,7771.230208,716,67
2024-05-29 21:06:32.753411,7.3,45.5,7774.65856,716,67
2024-05-29 21:06:38.004035,6.2,45.5,7771.783168,716,67
2024-05-29 21:06:43.270146,7.2,45.5,7774.650368,716,67
2024-05-29 21:06:48.534464,7.4,45.5,7772.286976,716,67
2024-05-29 21:06:53.786076,7.4,45.5,7770.25536,716,67
2024-05-29 21:06:59.033187,7.7,45.5,7766.437888,716,67
2024-05-29 21:07:04.271440,6.7,45.5,7770.775552,716,67
2024-05-29 21:07:09.505504,6.9,45.5,7765.2992,716,67
2024-05-29 21:07:14.766922,6.3,45.5,7767.891968,716,67
2024-05-29 21:07:20.033856,7.8,45.5,7764.832256,716,67
2024-05-29 21:07:25.285296,6.9,45.3,7736.180736,716,67
2024-05-29 21:07:30.551337,7.4,45.3,7737.700352,716,67
2024-05-29 21:07:35.813552,7.6,45.3,7739.936768,716,67
2024-05-29 21:07:41.051453,7.2,45.3,7739.727872,716,67
2024-05-29 21:07:46.301088,7.5,45.4,7743.176704,716,67
